Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1985;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.2;Grados centígrados;
1985;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.8;Grados centígrados;
1985;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.8;Grados centígrados;
1985;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.3;Grados centígrados;
1985;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.1;Grados centígrados;
1986;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.5;Grados centígrados;
1986;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.2;Grados centígrados;
1986;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.6;Grados centígrados;
1986;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.1;Grados centígrados;
1986;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.6;Grados centígrados;
1987;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
1987;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.8;Grados centígrados;
1987;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.3;Grados centígrados;
1987;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.0;Grados centígrados;
1987;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
1988;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.6;Grados centígrados;
1988;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
1988;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.7;Grados centígrados;
1988;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.3;Grados centígrados;
1988;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.1;Grados centígrados;
1989;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.8;Grados centígrados;
1989;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.6;Grados centígrados;
1989;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.3;Grados centígrados;
1989;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
1989;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.6;Grados centígrados;
1990;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.4;Grados centígrados;
1990;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.0;Grados centígrados;
1990;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.0;Grados centígrados;
1990;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
1990;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.5;Grados centígrados;
1991;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;10.8;Grados centígrados;
1991;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.8;Grados centígrados;
1991;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
1991;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.4;Grados centígrados;
1991;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.0;Grados centígrados;
1992;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.1;Grados centígrados;
1992;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.3;Grados centígrados;
1992;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.0;Grados centígrados;
1992;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
1992;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.0;Grados centígrados;
1993;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
