Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Edad;Grado de urbanización;Periodo;Total
Total Nacional;;;Total;Todas las edades;Total;2025;49.128.297
Total Nacional;;;Total;Todas las edades;Total;2024;48.619.695
Total Nacional;;;Total;Todas las edades;Total;2023;48.085.361
Total Nacional;;;Total;Todas las edades;Total;2022;47.486.727
Total Nacional;;;Total;Todas las edades;Total;2021;47.400.798
Total Nacional;;;Total;Todas las edades;Área densamente poblada;2025;26.992.715
Total Nacional;;;Total;Todas las edades;Área densamente poblada;2024;26.682.340
Total Nacional;;;Total;Todas las edades;Área densamente poblada;2023;26.334.897
Total Nacional;;;Total;Todas las edades;Área densamente poblada;2022;25.974.211
Total Nacional;;;Total;Todas las edades;Área densamente poblada;2021;26.013.273
Total Nacional;;;Total;Todas las edades;Área poblada nivel intermedio;2025;15.730.150
Total Nacional;;;Total;Todas las edades;Área poblada nivel intermedio;2024;15.559.792
Total Nacional;;;Total;Todas las edades;Área poblada nivel intermedio;2023;15.390.637
Total Nacional;;;Total;Todas las edades;Área poblada nivel intermedio;2022;15.192.284
Total Nacional;;;Total;Todas las edades;Área poblada nivel intermedio;2021;15.092.280
Total Nacional;;;Total;Todas las edades;Área poco poblada;2025;6.405.432
Total Nacional;;;Total;Todas las edades;Área poco poblada;2024;6.377.563
Total Nacional;;;Total;Todas las edades;Área poco poblada;2023;6.359.827
Total Nacional;;;Total;Todas las edades;Área poco poblada;2022;6.320.232
Total Nacional;;;Total;Todas las edades;Área poco poblada;2021;6.295.245
Total Nacional;;;Total;Menos de 16 años;Total;2025;6.874.902
Total Nacional;;;Total;Menos de 16 años;Total;2024;6.974.590
Total Nacional;;;Total;Menos de 16 años;Total;2023;7.054.555
Total Nacional;;;Total;Menos de 16 años;Total;2022;7.095.180
Total Nacional;;;Total;Menos de 16 años;Total;2021;7.209.005
Total Nacional;;;Total;Menos de 16 años;Área densamente poblada;2025;3.735.425
Total Nacional;;;Total;Menos de 16 años;Área densamente poblada;2024;3.792.710
Total Nacional;;;Total;Menos de 16 años;Área densamente poblada;2023;3.835.453
Total Nacional;;;Total;Menos de 16 años;Área densamente poblada;2022;3.860.456
Total Nacional;;;Total;Menos de 16 años;Área densamente poblada;2021;3.938.685
Total Nacional;;;Total;Menos de 16 años;Área poblada nivel intermedio;2025;2.356.071
Total Nacional;;;Total;Menos de 16 años;Área poblada nivel intermedio;2024;2.391.651
Total Nacional;;;Total;Menos de 16 años;Área poblada nivel intermedio;2023;2.419.978
Total Nacional;;;Total;Menos de 16 años;Área poblada nivel intermedio;2022;2.434.354
Total Nacional;;;Total;Menos de 16 años;Área poblada nivel intermedio;2021;2.465.565
Total Nacional;;;Total;Menos de 16 años;Área poco poblada;2025;783.406
Total Nacional;;;Total;Menos de 16 años;Área poco poblada;2024;790.229
Total Nacional;;;Total;Menos de 16 años;Área poco poblada;2023;799.124
Total Nacional;;;Total;Menos de 16 años;Área poco poblada;2022;800.370
Total Nacional;;;Total;Menos de 16 años;Área poco poblada;2021;804.755
Total Nacional;;;Total;De 16 a 64 años;Total;2025;32.074.770
Total Nacional;;;Total;De 16 a 64 años;Total;2024;31.716.737
Total Nacional;;;Total;De 16 a 64 años;Total;2023;31.343.030
Total Nacional;;;Total;De 16 a 64 años;Total;2022;30.909.745
Total Nacional;;;Total;De 16 a 64 años;Total;2021;30.880.309
Total Nacional;;;Total;De 16 a 64 años;Área densamente poblada;2025;17.703.352
Total Nacional;;;Total;De 16 a 64 años;Área densamente poblada;2024;17.469.023
Total Nacional;;;Total;De 16 a 64 años;Área densamente poblada;2023;17.212.103
Total Nacional;;;Total;De 16 a 64 años;Área densamente poblada;2022;16.936.632
Total Nacional;;;Total;De 16 a 64 años;Área densamente poblada;2021;16.980.476
Total Nacional;;;Total;De 16 a 64 años;Área poblada nivel intermedio;2025;10.384.353
Total Nacional;;;Total;De 16 a 64 años;Área poblada nivel intermedio;2024;10.271.059
Total Nacional;;;Total;De 16 a 64 años;Área poblada nivel intermedio;2023;10.159.889
Total Nacional;;;Total;De 16 a 64 años;Área poblada nivel intermedio;2022;10.024.505
Total Nacional;;;Total;De 16 a 64 años;Área poblada nivel intermedio;2021;9.965.807
Total Nacional;;;Total;De 16 a 64 años;Área poco poblada;2025;3.987.065
Total Nacional;;;Total;De 16 a 64 años;Área poco poblada;2024;3.976.655
Total Nacional;;;Total;De 16 a 64 años;Área poco poblada;2023;3.971.038
Total Nacional;;;Total;De 16 a 64 años;Área poco poblada;2022;3.948.608
Total Nacional;;;Total;De 16 a 64 años;Área poco poblada;2021;3.934.026
Total Nacional;;;Total;65 y más años;Total;2025;10.178.625
Total Nacional;;;Total;65 y más años;Total;2024;9.928.368
Total Nacional;;;Total;65 y más años;Total;2023;9.687.776
Total Nacional;;;Total;65 y más años;Total;2022;9.481.802
Total Nacional;;;Total;65 y más años;Total;2021;9.311.484
Total Nacional;;;Total;65 y más años;Área densamente poblada;2025;5.553.938
Total Nacional;;;Total;65 y más años;Área densamente poblada;2024;5.420.607
Total Nacional;;;Total;65 y más años;Área densamente poblada;2023;5.287.341
Total Nacional;;;Total;65 y más años;Área densamente poblada;2022;5.177.123
Total Nacional;;;Total;65 y más años;Área densamente poblada;2021;5.094.112
Total Nacional;;;Total;65 y más años;Área poblada nivel intermedio;2025;2.989.726
Total Nacional;;;Total;65 y más años;Área poblada nivel intermedio;2024;2.897.082
Total Nacional;;;Total;65 y más años;Área poblada nivel intermedio;2023;2.810.770
Total Nacional;;;Total;65 y más años;Área poblada nivel intermedio;2022;2.733.425
Total Nacional;;;Total;65 y más años;Área poblada nivel intermedio;2021;2.660.908
Total Nacional;;;Total;65 y más años;Área poco poblada;2025;1.634.961
Total Nacional;;;Total;65 y más años;Área poco poblada;2024;1.610.679
Total Nacional;;;Total;65 y más años;Área poco poblada;2023;1.589.665
Total Nacional;;;Total;65 y más años;Área poco poblada;2022;1.571.254
Total Nacional;;;Total;65 y más años;Área poco poblada;2021;1.556.464
Total Nacional;;;Hombres;Todas las edades;Total;2025;24.090.369
Total Nacional;;;Hombres;Todas las edades;Total;2024;23.826.871
Total Nacional;;;Hombres;Todas las edades;Total;2023;23.565.593
Total Nacional;;;Hombres;Todas las edades;Total;2022;23.288.747
Total Nacional;;;Hombres;Todas las edades;Total;2021;23.248.611
Total Nacional;;;Hombres;Todas las edades;Área densamente poblada;2025;12.983.731
Total Nacional;;;Hombres;Todas las edades;Área densamente poblada;2024;12.821.266
Total Nacional;;;Hombres;Todas las edades;Área densamente poblada;2023;12.650.581
Total Nacional;;;Hombres;Todas las edades;Área densamente poblada;2022;12.485.658
Total Nacional;;;Hombres;Todas las edades;Área densamente poblada;2021;12.507.994
Total Nacional;;;Hombres;Todas las edades;Área poblada nivel intermedio;2025;7.826.145
Total Nacional;;;Hombres;Todas las edades;Área poblada nivel intermedio;2024;7.741.030
Total Nacional;;;Hombres;Todas las edades;Área poblada nivel intermedio;2023;7.660.029
Total Nacional;;;Hombres;Todas las edades;Área poblada nivel intermedio;2022;7.567.444
Total Nacional;;;Hombres;Todas las edades;Área poblada nivel intermedio;2021;7.518.289
Total Nacional;;;Hombres;Todas las edades;Área poco poblada;2025;3.280.493
Total Nacional;;;Hombres;Todas las edades;Área poco poblada;2024;3.264.575
Total Nacional;;;Hombres;Todas las edades;Área poco poblada;2023;3.254.983
Total Nacional;;;Hombres;Todas las edades;Área poco poblada;2022;3.235.645
Total Nacional;;;Hombres;Todas las edades;Área poco poblada;2021;3.222.328
Total Nacional;;;Hombres;Menos de 16 años;Total;2025;3.535.938
Total Nacional;;;Hombres;Menos de 16 años;Total;2024;3.589.223
Total Nacional;;;Hombres;Menos de 16 años;Total;2023;3.630.838
Total Nacional;;;Hombres;Menos de 16 años;Total;2022;3.652.546
Total Nacional;;;Hombres;Menos de 16 años;Total;2021;3.709.872
Total Nacional;;;Hombres;Menos de 16 años;Área densamente poblada;2025;1.920.069
Total Nacional;;;Hombres;Menos de 16 años;Área densamente poblada;2024;1.950.187
Total Nacional;;;Hombres;Menos de 16 años;Área densamente poblada;2023;1.972.389
Total Nacional;;;Hombres;Menos de 16 años;Área densamente poblada;2022;1.985.336
Total Nacional;;;Hombres;Menos de 16 años;Área densamente poblada;2021;2.024.430
Total Nacional;;;Hombres;Menos de 16 años;Área poblada nivel intermedio;2025;1.212.542
Total Nacional;;;Hombres;Menos de 16 años;Área poblada nivel intermedio;2024;1.231.739
Total Nacional;;;Hombres;Menos de 16 años;Área poblada nivel intermedio;2023;1.246.651
Total Nacional;;;Hombres;Menos de 16 años;Área poblada nivel intermedio;2022;1.254.610
Total Nacional;;;Hombres;Menos de 16 años;Área poblada nivel intermedio;2021;1.270.721
Total Nacional;;;Hombres;Menos de 16 años;Área poco poblada;2025;403.327
Total Nacional;;;Hombres;Menos de 16 años;Área poco poblada;2024;407.297
Total Nacional;;;Hombres;Menos de 16 años;Área poco poblada;2023;411.798
Total Nacional;;;Hombres;Menos de 16 años;Área poco poblada;2022;412.600
Total Nacional;;;Hombres;Menos de 16 años;Área poco poblada;2021;414.721
Total Nacional;;;Hombres;De 16 a 64 años;Total;2025;16.111.466
Total Nacional;;;Hombres;De 16 a 64 años;Total;2024;15.911.179
Total Nacional;;;Hombres;De 16 a 64 años;Total;2023;15.721.215
Total Nacional;;;Hombres;De 16 a 64 años;Total;2022;15.518.298
Total Nacional;;;Hombres;De 16 a 64 años;Total;2021;15.499.982
Total Nacional;;;Hombres;De 16 a 64 años;Área densamente poblada;2025;8.742.801
Total Nacional;;;Hombres;De 16 a 64 años;Área densamente poblada;2024;8.608.960
Total Nacional;;;Hombres;De 16 a 64 años;Área densamente poblada;2023;8.474.913
Total Nacional;;;Hombres;De 16 a 64 años;Área densamente poblada;2022;8.344.121
Total Nacional;;;Hombres;De 16 a 64 años;Área densamente poblada;2021;8.362.131
Total Nacional;;;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2025;5.265.951
Total Nacional;;;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2024;5.204.677
Total Nacional;;;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2023;5.149.362
Total Nacional;;;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2022;5.085.220
Total Nacional;;;Hombres;De 16 a 64 años;Área poblada nivel intermedio;2021;5.054.633
Total Nacional;;;Hombres;De 16 a 64 años;Área poco poblada;2025;2.102.714
Total Nacional;;;Hombres;De 16 a 64 años;Área poco poblada;2024;2.097.542
Total Nacional;;;Hombres;De 16 a 64 años;Área poco poblada;2023;2.096.940
Total Nacional;;;Hombres;De 16 a 64 años;Área poco poblada;2022;2.088.957
Total Nacional;;;Hombres;De 16 a 64 años;Área poco poblada;2021;2.083.218
Total Nacional;;;Hombres;65 y más años;Total;2025;4.442.965
Total Nacional;;;Hombres;65 y más años;Total;2024;4.326.469
Total Nacional;;;Hombres;65 y más años;Total;2023;4.213.540
Total Nacional;;;Hombres;65 y más años;Total;2022;4.117.903
Total Nacional;;;Hombres;65 y más años;Total;2021;4.038.757
Total Nacional;;;Hombres;65 y más años;Área densamente poblada;2025;2.320.861
Total Nacional;;;Hombres;65 y más años;Área densamente poblada;2024;2.262.119
Total Nacional;;;Hombres;65 y más años;Área densamente poblada;2023;2.203.279
Total Nacional;;;Hombres;65 y más años;Área densamente poblada;2022;2.156.201
Total Nacional;;;Hombres;65 y más años;Área densamente poblada;2021;2.121.433
Total Nacional;;;Hombres;65 y más años;Área poblada nivel intermedio;2025;1.347.652
Total Nacional;;;Hombres;65 y más años;Área poblada nivel intermedio;2024;1.304.614
Total Nacional;;;Hombres;65 y más años;Área poblada nivel intermedio;2023;1.264.016
